title,url,description,author,scraped_at,source
AI Tools Are Helping Mediocre North Korean Hackers Steal Millions,https://www.wired.com/story/ai-tools-are-helping-mediocre-north-korean-hackers-steal-millions/,One group of hackers used AI for everything from vibe coding their malware to creating fake company websites—and stole as much as $12 million in three months.,By ANDY GREENBERG,2026-04-23T22:14:59.747461,Wired.com
Mozilla Used Anthropic’s Mythos to Find and Fix 271 Bugs in Firefox,https://www.wired.com/story/mozilla-used-anthropics-mythos-to-find-271-bugs-in-firefox/,"The Firefox team doesn’t think emerging AI capabilities will upend cybersecurity long term, but they warn that software developers are likely in for a rocky transition.",By LILY HAY NEWMAN,2026-04-23T22:15:05.538855,Wired.com
Meta Is Sued Over Scam Ads on Facebook and Instagram,https://www.wired.com/story/meta-is-sued-over-scam-ads-on-facebook-and-instagram/,A lawsuit from the Consumer Federation of America accuses Meta of misleading consumers about its efforts to combat scams advertisements on its platforms.,By MADDY VARNER,2026-04-23T22:15:11.001853,Wired.com
Security News This Week: It Takes 2 Minutes to Hack the EU-s New Age-Verification App,https://www.wired.com/story/security-news-this-week-it-takes-2-minutes-to-hack-the-eus-new-age-verification-app/,"Plus: Major data breaches at a gym chain and hotel giant, a disruptive DDoS attack against Bluesky, dubious ICE hires, and more.",By DELL CAMERON,2026-04-23T22:15:18.556309,Wired.com
The Dumbest Hack of the Year Exposed a Very Real Problem,https://www.wired.com/story/crosswalk-city-hack-cybersecurity-lessons/,"Last April, a hacker hijacked crosswalk announcements to mimic Mark Zuckerberg and Elon Musk. Records obtained by WIRED reveal how unprepared local authorities were.",By PARESH DAVE,2026-04-23T22:15:25.167976,Wired.com
Security News This Week: Your Push Notifications Aren’t Safe From the FBI,https://www.wired.com/story/security-news-this-week-your-push-notifications-arent-safe-from-the-fbi/,"Plus: Iran’s internet blackout hits the 1,000-hour mark, cryptocurrency scams result in a record amount of money stolen from Americans, and more.",By MATT BURGESS,2026-04-23T22:15:33.390551,Wired.com
Anthropic’s Mythos Will Force a Cybersecurity Reckoning—Just Not the One You Think,https://www.wired.com/story/anthropics-mythos-will-force-a-cybersecurity-reckoning-just-not-the-one-you-think/,The new AI model is being heralded—and feared—as a hacker’s superweapon. Experts say its arrival is a wake-up call for developers who have long made security an afterthought.,By LILY HAY NEWMAN,2026-04-23T22:15:40.480794,Wired.com
They Built a Legendary Privacy Tool. Now They’re Sworn Enemies,https://www.wired.com/story/they-built-privacy-tool-grapheneos-now-sworn-enemies/,"There’s a lot of love all over the world for GrapheneOS, the gold standard of mobile security. There’s very little love between the two guys at the center of its history.",By TIFFANY NG,2026-04-23T22:15:55.485859,Wired.com
"The Weird, Twisting Tale of How China Spied on Alysa Liu and Her Dad",https://www.wired.com/story/the-weird-twisting-tale-of-how-china-spied-on-alysa-liu-and-her-dad/,"Years before the figure skater became an Olympic superstar, a Chinese operative tried to stalk her father and monitored other US residents deemed dissidents against China. And that’s just the beginning.",By TIMOTHY MCLAUGHLIN,2026-04-23T22:16:04.429140,Wired.com
Republican Mutiny Sinks Trump's Push to Extend Warrantless Surveillance,https://www.wired.com/story/republican-mutiny-sinks-trumps-push-to-extend-warrantless-surveillance/,"A post-midnight revolt in the House sank the White House's efforts to extend Section 702—a spy program the FBI has used to look into members of Congress, protesters, and political donors.",By DELL CAMERON,2026-04-23T22:16:12.114857,Wired.com
